4s 3d Jd Ks 3s 6s Ad, 4s 3d Jd Ks 3s Qc 8h, [9s 7d Td Js 7s 3s 8d], [9s 7d Td Js 7s Ac Kh]
3d 4d Qc Tc 2h As 4h, 3d 4d Qc Tc 2h 4c 7c, [7d 9d Ac Qc 6h 8s 9h], [7d 9d Ac Qc 6h 9c 2c]
Js 8d 4c Ad 8h 8c Qd, Js 8d 4c Ad 8h Ac Ts, [Ts Kd 9c 8d Kh Kc Ad], [Ts Kd 9c 8d Kh 8c Qs]
6h 4h 2c Ts 6d 6c Tc, 6h 4h 2c Ts 6d 6s 8h, [3h 9h 6c Qs 3d 3c Qc], [3h 9h 6c Qs 3d 3s Kh]
7d Ks 6c 7h Kd Ad As, 7d Ks 6c 7h Kd Jd Tc, [2d Js 3c 2h Jd 8d 8s], [2d Js 3c 2h Jd Td Qc]
6c 4c Js Ad Qd 5h Jc, 6c 4c Js Ad Qd 6s Kh, [3c 9c Ts 8d Ad 4h Tc], [3c 9c Ts 8d Ad 3s Jh]
Ad 5s Ts 7s 3c 2d 2h, Ad 5s Ts 7s 3c Js Qc, [8d 4s Qs 2s 7c 6d 6h], [8d 4s Qs 2s 7c Ts Ac]
7d 8c Td Kd 8d 6c Ks, 7d 8c Td Kd 8d As Ac, [2d Kc Qd Jd Kd 3c Js], [2d Kc Qd Jd Kd 8s 8c]
9c 4s Js Qs 9h 5s As, 9c 4s Js Qs 9h Kh Ac, [5c 9s Ts As 5h 4s 8s], [5c 9s Ts As 5h Jh 8c]
6d 5c 5s 6c 2c 9h 7d, 6d 5c 5s 6c 2c 2s Qc, [3d 4c 4s 3c 6c 5h 2d], [3d 4c 4s 3c 6c 6s Ac]
9s 2d 2s 6s 5h 7d Kd, 9s 2d 2s 6s 5h 8d 4c, [5s 6d 6s 3s 4h 2d Jd], [5s 6d 6s 3s 4h Kd 9c]
3c 2s Td 7h 9h 8d Qs, 3c 2s Td 7h 9h Js 5d, [7c 6s Qd 2h 5h Kd As], [7c 6s Qd 2h 5h Ts 4d]
Qc 6d Ts 8d 4c 6s Qh, Qc 6d Ts 8d 4c 8h Th, [Ac 3d Qs Kd 9c 3s Ah], [Ac 3d Qs Kd 9c Kh Qh]
Qs 5d 3s 6h Qd 9s 9h, Qs 5d 3s 6h Qd 7d 7c, [As 4d 7s 3h Ad 5s 5h], [As 4d 7s 3h Ad 2d 2c]
3s Js 8h 3h Qs 8s Qd, 3s Js 8h 3h Qs 5c Jc, [7s Ts Kh 7h As Ks Ad], [7s Ts Kh 7h As 4c Tc]
Kh Kc 9h 4h 6c 3h Qh, Kh Kc 9h 4h 6c Qc 2h, [Jh Jc 5h 9h 3c 7h Ah], [Jh Jc 5h 9h 3c Ac 6h]
9d Qd Tc Jd 6h Jh Kd, 9d Qd Tc Jd 6h Ks 5h, [5d Ad Qc Td 3h Th Jd], [5d Ad Qc Td 3h Js 4h]
9d 6d Ts 2d 7s 7c 8c, 9d 6d Ts 2d 7s Qs Kd, [5d 3d Qs 6d 2s 2c Kc], [5d 3d Qs 6d 2s As Jd]
Td 9s 6s Ac 8s Qc Ad, Td 9s 6s Ac 8s 7d 7c, [Qd 5s 3s 8c Ks Ac 8d], [Qd 5s 3s 8c Ks 2d 2c]
4d Qh 2d 7s 6c As 2s, 4d Qh 2d 7s 6c 7d Ad, [9d Ah 6d 2s 3c 8s 6s], [9d Ah 6d 2s 3c 2d 8d]
Ac 4c Ah Th Qs 8h 3h, Ac 4c Ah Th Qs 5h Ks, [8c 9c 8h Qh As Kh 7h], [8c 9c 8h Qh As 4h Js]
4c Qd 7h 2h 4h Jd Kd, 4c Qd 7h 2h 4h As Kh, [9c Ad 2h 6h 9h Td Jd], [9c Ad 2h 6h 9h 8s Jh]
6h Kh 6s Qh 4s Qd 2h, 6h Kh 6s Qh 4s Th 8s, [3h Jh 3s Ah 9s Ad 6h], [3h Jh 3s Ah 9s Qh Ks]
